num,win_bi,appear_d,appear_r,appear_3,many_rep,same_rep,same_fas,art11,case_fine,fas_main,length_m,VAR00001,year,count_rep1,num_old,number,dec_nam1,regi,article,case_type,wtf,fine,simple,rep1,fas1,prejudice,prejud_des,return,return_old_des,same_judge,reg_dec,dec_num,dec_real,dec_typ1,dec_t_o1,dec_2_ro,dec_typ2,dec_t_o2,dec_nam2,dec_3_ro,dec_typ3,dec_t_o3,dec_nam3,expert,exp_cont,opros,anketa,statist,mark_gds,mark_reg,mark_r_o,a10pn,a10p1,a10p2,a10p3,a10p4,a10p5,a10p6,a10p7,a10p8,a10p9,a10p10,a10p11,a11p1,a11p2,a11p3,a11p4,a11p5,torg,r_win1,r_win2,r_win3,length_pages,small,date_bil,date_des,date_app,date_a_2,who_app,declar_a,resp_a,change_a,date_cas,who_cas,declar_c,resp_c,date_c_1,change_c,final,nadzor,judge,judge_count,jud_exp,inn1,count,spark1,ved1,okved2,okved4,inn2,spark2,ved2,inn3,spark3,ved3,cont,rep2,fas2,rep3,fas3,app_num,app_judges,app_exp,app_exp_cont,third_fas,pravo_ru,np,jud_gender,gender_rep1,gender_fas1,gen_rep_bi,gen_fas_bi,appeareance,gen_def
1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.133333333333333,,2012.0,1.0,1.0,А06-1100/2011,"ООО ""ЛУКОЙЛ-ТТК""",6.0,3.0,0.0,,100000.0,,Погорелов С.В.,Нургалиев Т.Р.,1.0,0.0,,,,,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,4.0,,2011-03-03,2012-01-31,2012-02-22,2012-03-19,1.0,1.0,0.0,0.0,,,,,,,0.0,0.0,06 Колмакова Н. Н.,2.0,2009.0,3445102073,49.0,6693.0,"Производство, передача и распределение пара и горячей воды (тепл",40.0,,,,,,,,,Погорелов С.В.,,,,12АП-1925/2012,"Луговской Н.В., Дубровина О.А., Комнатная Ю.А.",,,,,,0.0,1,1,1.0,1.0,2.0,2.0
2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466666666666667,,2012.0,1.0,2.0,А06-7464/2011,"ООО ""ЛУКОЙЛ-ТТК""",6.0,3.0,1.0,,,,Погорелов С.В.,Нургалиев Т.Р.,,,,,,,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,7.0,,2011-10-18,2012-01-30,2012-03-12,2012-05-12,1.0,1.0,0.0,0.0,2012-08-06,1.0,1.0,1.0,2012-09-19,0.0,0.0,0.0,06 Мирекина Е. И.,12.0,1992.0,3445102073,49.0,6693.0,"Производство, передача и распределение пара и горячей воды (тепл",40.0,,,,,,,,,Погорелов С.В.,,Погорелов С.В.,Нургалиев Т.Р.,12АП-2526/2012,"Луговской Н.В., Борисова Т.С., Пригарова Н.Н.",,,,,,0.0,1,1,1.0,1.0,2.0,2.0
3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2333333333333334,,2012.0,2.0,3.0,А56-69850/2011,ООО «ЭНЕРГИЯ ХОЛДИНГ»,56.0,3.0,1.0,,,,"Гаманин Д.Г., Муромцев А.Ю","Мордовец В.А., Кузнецова Н.С.",,,,,,,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,электроэнергия,2.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,4.0,,2011-12-21,2012-01-27,2012-03-15,2012-05-23,1.0,1.0,1.0,0.0,2012-07-26,1.0,1.0,1.0,2012-08-20,0.0,0.0,0.0,56 Синицына Е. В.,15.0,2006.0,7710434887,1.0,13776.0,Оптовая торговля электрической и тепловой энергией (без их перед,40.0,,,,,,,,,"Гаманин Д.Г., Муровец А.Ю.",Мордовец В.А.,Муровец А.Ю.,Рагимова Н.С.,13АП-8582/2013,"Фокина Е.А., Есипова О.И., Шульга Л.А.",,,,,,0.0,1,,1.0,,2.0,
4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8666666666666667,,2012.0,2.0,4.0,А52-4344/2011,ОАО «МРСК Северо-Запада»,52.0,3.0,0.0,,26168034.76,,"Якутович В.В., Юхневич А.В.",Аверина Е.С.,,,,,,,1.0,1.0,33.0,,,,,,,,,,0.0,,0.0,0.0,0.0,энергетика,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,11.0,,2011-12-01,2012-01-26,,,,,,,,,,,,,2.0,0.0,52 Манясева Г. И.,9.0,1992.0,7802312751,32.0,30849.0,распределение электроэнергии,40.0,,,,,,,,,,,,,,,,,,,,0.0,,0,,0.0,2.0,
5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6,,2012.0,1.0,6.0,А82-9049/2011,ООО «Газпром межрегионгаз Ярославль»,82.0,3.0,0.0,,21155656.4,,Кваша О.В.,Гаев М.В.,1.0,0.0,,,,,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,газ,2.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,,7.0,,2011-08-11,2012-01-26,2012-02-13,2012-03-27,1.0,1.0,0.0,0.0,2012-04-23,1.0,0.0,0.0,2012-07-25,0.0,1.0,1.0,82 Глызина А. В.,123.0,2000.0,7604049153,9.0,9120.0,"Торговля газообразным топливом, подаваемым по распределительным",40.0,,,,,,,,,Кваша О.В.,,,,02АП-1098/2012,"Ившина Г.Г., Караваева А.В., Буторина Г.Г.",,,,,,0.0,,1,,1.0,2.0,
6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,,2012.0,1.0,7.0,А71-9517/2011,ООО «УКС»,71.0,3.0,2.0,,10125734.22,,Митягин А.Ю.,Прохоров Р.В.,,,,,,,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,5.0,,2011-08-29,2012-01-26,2012-07-10,2012-09-06,0.0,1.0,1.0,0.0,,,,,,,2.0,0.0,71 Кудрявцев М. Н.,27.0,1994.0,1833037470,10.0,4123.0,Передача пара и горячей воды (тепловой энергии),40.0,,,,,,,,,"Митягин А.Ю.., Балабанов Я.В.",Прохоров Р.В.,,,17АП-1979/2012,"Ясикова Е. Ю.,  Осипова С.П., Щеклеина Л.Ю.",,,,,,1.0,1,1,1.0,1.0,2.0,2.0
7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.066666666666666,,2012.0,1.0,8.0,А08-6472/2011,ОАО «Белгородская теплосетевая компания»,8.0,3.0,0.0,,100000.0,,Ясенева А.Н.,Шевцова Н.С.,1.0,2.0,,,,,1.0,1.0,33.0,,,,,,,,,,0.0,,0.0,0.0,0.0,теплоснабжение,1.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,,5.0,,2011-08-26,2012-01-25,,,,,,,,,,,,,2.0,0.0,08 Бутылин Е. В.,13.0,2004.0,3123169468,2.0,2612.0,Производство пара и горячей воды (тепловой энергии) котельными,40.0,,,,,,,,,,,,,,,,,,,,1.0,0,0,0.0,0.0,2.0,0.0
8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.066666666666666,,2012.0,1.0,9.0,А53-13975/2011,"ЗАО ""ТЗК-АВИА""",53.0,3.0,0.0,,3058070.0,,Дронова А.Е.,Исмаилов М.И.,1.0,0.0,,,,,1.0,1.0,32.0,,,,,,,,,,0.0,,0.0,0.0,0.0,авиатопливо,1.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,5.0,,2011-07-27,2012-01-25,2012-02-20,2012-04-10,1.0,1.0,1.0,0.0,,,,,,,0.0,0.0,53 Чернышева И. В.,50.0,2010.0,6166045712,3.0,723.0,Оптовая торговля топливом,51.0,,,,,,,,,"Дронова А.Е., Легконогов Н.А.",Воронцов П.П.,,,15АП-2090/2012,"Смотрова Н.Н., Иванова Н.Н., Соловьева М.В.",,,,,,0.0,0,1,0.0,1.0,2.0,1.0
9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.566666666666666,,2012.0,1.0,10.0,А22-1174/2011,ООО «Домофон-Сервис»,22.0,3.0,0.0,,100000.0,,Тихомиров А.С.,Доролеев В.В.,1.0,2.0,,,,,1.0,1.0,31.0,,,,,,,,,,0.0,,0.0,0.0,0.0,домофоны,1.0,,0.0,,,,,,,,,,,,,,,,,,2.0,,,5.0,,2011-07-12,2012-01-25,2012-02-15,2012-03-19,0.0,0.0,0.0,0.0,,,,,,,2.0,0.0,22 Конторова Д. Г.,6.0,1992.0,0814174567,2.0,,"Предоставление услуг по монтажу, ремонту и техническому обслужив",32.0,,,,,,,,,,,,,16АП-579/2012,Белов Д. А. Афанасьева Л. В. Цигельников И. А.,,,,,,0.0,1,1,1.0,1.0,2.0,2.0
10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.666666666666666,,2012.0,1.0,11.0,А06-1308/2011,"ОАО ""Астраханская энергосбытовая компания""",6.0,3.0,0.0,,100000.0,,Елемесов Р.К.,,1.0,2.0,,,,,1.0,1.0,33.0,,,,,,,,,,0.0,,0.0,0.0,0.0,электроэнергия,1.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,5.0,,2011-03-11,2012-01-25,,,,,,,,,,,,,2.0,0.0,06 Плеханова Г. А.,10.0,2004.0,3017041554,21.0,2045.0,Торговля электроэнергией,40.0,,,,,,,,,,,,,,,,,,,,0.0,1,,1.0,,1.0,
